DisNo.,Depth,
2002-0070-PNG,11,
2002-0015-TJK,33,
2002-0002-VUT,21,
2001-0751-PER,33,
2001-0598-CHN,10,
2001-0750-IRN,33,
2001-0754-PER,33,
2001-0749-GRC,10,
2001-0389-CHN,33,
2001-0748-TUR,33,
2001-0546-IDN,36.9,
2001-0358-TUR,5,
2001-0294-PER,33,
2001-0345-PNG,10,
2001-0233-AFG,62.1,
2001-0214-CHN,33,
2001-0151-CHN,10,
2001-0123-JPN,50,
2001-0086-AFG,202.5,
2001-0064-CHN,33,
2001-0669-IDN,36,
2001-0042-SLV,10,
2001-0033-IND,16,
2001-0033-PAK,16,
2001-0013-SLV,60,
2001-0023-GTM,60,
2000-0810-TKM,30,
2000-0769-AZE,50.4,
2000-0749-PNG,33,
2000-0081-COL,17,
2000-0743-TJK,33,
2000-0761-IDN,38,
2000-0656-JPN,10,
2000-0653-TZA,34,
2000-0598-USA,9.367,
2000-0527-CHN,33,
2000-0111-MEX,45.8,
2000-0480-RUS,10,
2000-0449-IDN,33,
2000-0387-NIC,33,
2000-0428-JPN,10,
2000-0076-ISL,10,
2000-0335-ISL,10,
2000-0762-IDN,33,
2000-0298-CHN,10,
2000-0291-TUR,10,
2000-0293-IDN,33,
2000-0303-GRC,0,
2000-0272-TUR,5.4,
2000-0230-IDN,26,
2001-0005-TZA,10,
2000-0065-IRN,33,
2000-0051-IRN,33,
2000-0036-CHN,33,
2000-0033-CHN,33,
2000-0041-CHN,10,
2000-0023-BGD,33,
2015-0125-CHN,10,
2015-0078-CHN,11.92,
2014-0544-CHN,10,
2014-0177-CHN,10,
2014-0111-NIC,135,
2014-0129-CHN,24.74,
2014-0258-COM,10,
2014-0086-CHN,10,
2014-0054-IRN,8,
2013-0555-CHN,17.8,
2013-0081-CHN,8,
2013-0058-COL,145,
2014-0465-JPN,9,
2014-0464-CHN,9,
2014-0449-CHN,8.51,
2014-0334-PER,10,
2014-0288-ECU,11.88,
2014-0311-ZAF,5,
2014-0298-DZA,10,
2014-0174-GRC,6.43,
2014-0174-TUR,6.43,
2014-0173-CHN,8,
2014-0159-THA,6,
2014-0127-MEX,24,
2014-0049-GRC,8,
2013-0581-CHN,7.68,
2013-0516-IRN,8,
2013-0470-CHN,10,
2013-0436-IDN,9.75,
2013-0395-PHL,19.04,
2013-0484-PAK,12,
2013-0409-PER,40,
2013-0381-PAK,15,
2013-0405-GTM,66,
2013-0314-CHN,8,
2013-0242-CHN,8,
