DisNo.,Disaster Subtype,External IDs,ISO,Magnitude,Date,Total Deaths,No. Injured,No. Homeless,No. Affected,Total Affected,Development
1992-0064-COD,Ground movement,,COD,6.7,1992/9/11,9,61,250,,311,0
1992-0067-CUB,Ground movement,,CUB,7,1992/5/25,,40,,5829,5869,0
1992-0079-NIC,Ground movement,,NIC,7,1992/9/1,179,489,,5690,6179,0
1992-0081-KGZ,Ground movement,,KGZ,7.5,1992/8/19,54,100,32538,54168,86806,0
1992-0082-KGZ,Ground movement,,KGZ,7,1992/5/22,4,,,50000,50000,0
1992-0093-BEL,Ground movement,,BEL,5.5,1992/4/13,,,,,,1
1992-0093-DEU,Ground movement,,DEU,5.6,1992/4/13,1,25,,1500,1525,1
1992-0093-NLD,Ground movement,,NLD,5.5,1992/4/13,,20,,,20,1
1992-0120-USA,Ground movement,,USA,6.9,1992/4/25,,94,,,94,1
1992-0149-EGY,Ground movement,,EGY,5.9,1992/10/12,552,9929,25020,57700,92649,0
1992-0151-COL,Ground movement,,COL,6.6,1992/10/17,11,135,1500,,1635,0
1992-0163-IDN,Ground movement,,IDN,7.5,1992/12/12,2500,2103,90000,,92103,0
1992-0180-IRN,Ground movement,,IRN,4.9,1992/3/4,5,50,4000,,4050,0
1992-0202-AFG,Ground movement,,AFG,5.5,1992/5/20,14,,,,,0
1992-0202-PAK,Ground movement,,PAK,6,1992/5/20,36,100,2000,,2100,0
1992-0215-USA,Ground movement,,USA,7.4,1992/6/28,1,300,,,300,1
1992-0236-UZB,Ground movement,,UZB,5.6,1992/5/15,9,,,50000,50000,0
1992-0247-IDN,Ground movement,,IDN,5,1992/2/4,,1,7500,,7501,0
1992-0252-JPN,Ground movement,,JPN,5.9,1992/2/2,,32,,,32,1
1992-0256-CHN,Ground movement,,CHN,6.5,1992/7/31,,,,16000,16000,0
1992-0481-GEO,Ground movement,,GEO,6.7,1992/10/24,1,10,,,10,0
1992-0554-USA,Ground movement,,USA,6.2,1992/4/22,,32,,,32,1
1993-0035-IRN,Ground movement,,IRN,5.6,1993/6/22,24,49,,4000,4049,0
1993-0044-JPN,Tsunami,,JPN,7.8,1993/7/12,239,233,1620,5502,7355,1
1993-0049-GUM,Ground movement,,GUM,8.1,1993/8/9,,71,,,71,
1993-0056-SDN,Ground movement,,SDN,6.2,1993/8/1,3,15,,,15,0
1993-0074-IND,Ground movement,,IND,6.4,1993/9/29,9748,30000,,,30000,0
1993-0076-PNG,Ground movement,,PNG,7.2,1993/10/13,53,200,10000,10000,20200,0
1993-0086-MEX,Ground movement,,MEX,6.5,1993/10/24,,,,,,0
1993-0097-JPN,Ground movement,,JPN,7.5,1993/1/15,2,722,,9800,10522,1
1993-0108-CHN,Ground movement,,CHN,6.3,1993/1/27,,66,34860,107220,142146,0
1993-0134-WLF,Ground movement,,WLF,6.5,1993/3/13,5,20,,,20,
1993-0136-GRC,Ground movement,,GRC,5.2,1993/3/27,1,16,,1500,1516,0
1993-0144-PER,Ground movement,,PER,5.6,1993/4/18,6,25,,120,145,0
1993-0184-CRI,Ground movement,,CRI,4.4,1993/7/10,3,40,,200,240,0
1993-0480-USA,Ground movement,,USA,5.8,1993/9/21,2,,,3000,3000,1
1993-0490-COL,Ground movement,,COL,6.1,1993/7/22,2,60,,3011,3071,0
1993-0578-IRN,Ground movement,,IRN,5.1,1993/1/27,,3,1000,,1003,0
1993-0579-GRC,Ground movement,,GRC,5.3,1993/7/14,,5,,600,605,0
1993-0580-NPL,Ground movement,,NPL,5.1,1993/10/20,,55,,230,285,0
1993-0581-IND,Ground movement,,IND,4.6,1993/11/12,,25,,500,525,0
1993-0582-CHN,Ground movement,,CHN,5.2,1993/11/30,,4,500,,504,0
1994-0002-USA,Ground movement,,USA,6.6,1994/1/17,60,7000,20000,,27000,1
1994-0006-IDN,Ground movement,,IDN,6.8,1994/1/21,7,40,,200000,200040,0
1994-0007-IDN,Ground movement,,IDN,7.2,1994/2/16,207,1449,10330,37620,49399,0
1994-0040-IRN,Ground movement,,IRN,6.1,1994/2/23,9,,,1500,1500,0
1994-0041-IRN,Ground movement,,IRN,5.6,1994/3/1,3,31,,15010,15041,0
1994-0051-UGA,Ground movement,,UGA,6.2,1994/2/6,7,,,50000,50000,0
1994-0057-AFG,Ground movement,,AFG,6.3,1994/5/1,160,330,,100000,100330,0
1994-0058-BOL,Ground movement,,BOL,7.5,1994/6/9,5,,,,,0
1994-0059-COL,Ground movement,,COL,6.4,1994/6/6,271,158,24797,12461,37416,0
1994-0062-IDN,Ground movement,,IDN,7.2,1994/6/2,239,440,,8280,8720,0
1994-0070-IRN,Ground movement,,IRN,6,1994/6/20,2,100,,,100,0
1994-0076-VUT,Ground movement,,VUT,7.3,1994/8/13,,,,,,0
1994-0196-DZA,Ground movement,,DZA,5.6,1994/8/18,171,289,,12500,12789,0
1994-0307-CHN,Ground movement,,CHN,6.8,1994/9/15,1,500,,,500,0
1994-0316-JPN,Ground movement,,JPN,7.5,1994/12/28,2,285,,,285,1
1994-0342-RUS,Ground movement,,RUS,7.9,1994/10/4,11,242,2100,,2342,0
1994-0343-JPN,Ground movement,,JPN,7.9,1994/10/4,5,1500,,,1500,1
1994-0513-IDN,Ground movement,,IDN,6.3,1994/10/9,1,52,,2385,2437,0
1994-0518-PHL,Ground movement,,PHL,7.1,1994/11/15,81,171,3985,266710,270866,0
1994-0599-USA,Ground movement,,USA,5.3,1994/12/26,,,,225,225,1
1994-0600-CHN,Ground movement,,CHN,6.1,1994/12/31,,360,,5500,5860,0
1994-0642-AUS,Ground movement,,AUS,5.4,1994/8/6,,5,20,5000,5025,1
1994-0652-IDN,Ground movement,,IDN,5.7,1994/11/20,,28,,39,67,0
1994-0767-CHN,Ground movement,,CHN,5.8,1994/1/3,,5,,280,285,0
1994-0768-PHL,Ground movement,,PHL,5.6,1994/5/13,,3,,215,218,0
1995-0015-COL,Ground movement,,COL,6.5,1995/1/19,7,35,250,2560,2845,0
1995-0016-JPN,Ground movement,,JPN,7.2,1995/1/17,5297,34492,251301,255843,541636,1
1995-0030-COL,Ground movement,,COL,6.4,1995/2/8,40,230,3000,11867,15097,0
1995-0034-CYP,Ground movement,,CYP,5.8,1995/2/23,2,5,150,1710,1865,0
1995-0047-ECU,Ground movement,,ECU,5.2,1995/3/26,1,85,,,85,0
1995-0054-COL,Ground movement,,COL,5.1,1995/3/4,8,4,,255,259,0
1995-0055-PHL,Ground movement,,PHL,7.3,1995/4/21,,,,,,0
1995-0084-IDN,Ground movement,,IDN,6.8,1995/5/14,15,26,,150,176,0
1995-0085-GRC,Ground movement,,GRC,6.6,1995/5/13,26,60,,15000,15060,0
1995-0089-IDN,Ground movement,,IDN,5.5,1995/5/19,,38,,1500,1538,0
1995-0097-RUS,Ground movement,,RUS,7.6,1995/5/27,1989,750,,,750,0
1995-0148-CHN,Ground movement,,CHN,7.1,1995/7/12,11,136,,1000000,1000136,0
1995-0148-MMR,Ground movement,,MMR,7.1,1995/7/12,,,,,,0
1995-0148-THA,Ground movement,,THA,7.1,1995/7/12,,,,,,0
1995-0171-CHL,Ground movement,,CHL,7.8,1995/7/30,3,58,575,1200,1833,0
1995-0203-MEX,Ground movement,,MEX,7.2,1995/9/14,6,25,3505,1140,4670,0
1995-0226-ECU,Ground movement,,ECU,6.9,1995/10/2,2,5,600,200,805,0
1995-0233-TUR,Ground movement,,TUR,6.1,1995/10/1,94,240,40000,120000,160240,0
1995-0252-IDN,Ground movement,,IDN,7,1995/10/7,84,1868,35685,52665,90218,0
1995-0253-MEX,Ground movement,,MEX,7.5,1995/10/9,58,100,8770,35595,44465,0
1995-0261-CHN,Ground movement,,CHN,6.1,1995/10/24,46,297,20000,,20297,0
1995-0293-EGY,Ground movement,,EGY,6.2,1995/11/22,10,69,,,69,0
1995-0437-GRC,Ground movement,,GRC,6.3,1995/6/15,26,100,6300,7500,13900,0
1995-0449-JPN,Ground movement,,JPN,5.3,1995/4/1,,39,,1512,1551,1
1995-0454-MEX,Ground movement,,MEX,6.5,1995/10/20,,,,18000,18000,0
1995-0457-CHN,Ground movement,,CHN,5.6,1995/7/21,14,60,5000,,5060,0
1996-0002-IDN,Ground movement,,IDN,7,1996/1/1,9,,13000,,13000,0
1996-0020-AFG,Ground movement,,AFG,,1996/1/31,,,750,2500,3250,0
1996-0021-CHN,Ground movement,,CHN,7,1996/2/3,309,16925,1790870,3270000,5077795,0
1996-0042-PER,Tsunami,,PER,,1996/2/21,7,2,750,,752,0
1996-0061-IDN,Ground movement,,IDN,7.5,1996/2/17,166,423,5090,20125,25638,0
1996-0062-ECU,Ground movement,,ECU,5.7,1996/3/28,27,180,15525,15000,30705,0
1996-0081-CHN,Ground movement,,CHN,6.4,1996/5/3,18,300,,200000,200300,0
1996-0136-CHN,Ground movement,,CHN,6.9,1996/3/19,26,128,33000,,33128,0
1996-0179-GRC,Ground movement,,GRC,5.6,1996/8/6,,,,1500,1500,0
1996-0205-CHN,Ground movement,,CHN,5.7,1996/9/25,,137,,,137,0
1996-0212-HRV,Ground movement,,HRV,6,1996/9/5,,,2000,,2000,0
1996-0261-PER,Ground movement,,PER,7.3,1996/11/12,14,585,20030,55355,75970,0
1996-0461-TUR,Ground movement,,TUR,,1996/8/14,,6,9000,17000,26006,0
1997-0011-CHN,Ground movement,,CHN,5.9,1997/1/21,12,40,70000,85000,155040,0
1997-0017-IRN,Ground movement,,IRN,5.6,1997/2/4,100,2000,27500,55000,84500,0
1997-0028-KGZ,Ground movement,,KGZ,7,1997/1/9,,,30,1200,1230,0
1997-0030-PAK,Ground movement,,PAK,6.3,1997/2/28,50,100,10000,,10100,0
1997-0035-IRN,Ground movement,,IRN,6,1997/2/28,1100,2600,36000,,38600,0
1997-0045-TTO,Ground movement,,TTO,6.5,1997/4/22,,2,15,,17,0
1997-0071-MEX,Ground movement,,MEX,7.3,1997/1/12,1,,,5000,5000,0
1997-0095-AFG,Ground movement,,AFG,6.4,1997/5/10,5,,,,,0
1997-0095-IRN,Ground movement,,IRN,7.3,1997/5/10,1568,2600,,72000,74600,0
1997-0115-IND,Ground movement,,IND,6,1997/5/22,43,1500,30000,125000,156500,0
1997-0116-MEX,Ground movement,,MEX,5.9,1997/5/22,,,,12000,12000,0
1997-0147-VEN,Ground movement,,VEN,6.7,1997/7/9,80,683,3500,,4183,0
1997-0228-ITA,Ground movement,,ITA,5.5,1997/9/26,14,100,38000,,38100,1
