DisNo.,Disaster Subtype,External IDs,ISO,Magnitude,Date,Total Deaths,No. Injured,No. Homeless,No. Affected,Total Affected,Development
2001-0099-USA,Ground movement,USGS:uw10530748,USA,6.8,2001/2/28,1,400,,,400,1
2001-0123-JPN,Ground movement,USGS:usp000abyg,JPN,6.8,2001/3/24,2,161,,11100,11261,1
2001-0151-CHN,Ground movement,USGS:usp000ad3a,CHN,5.6,2001/4/12,2,190,,150000,150190,0
2001-0214-CHN,Ground movement,USGS:usp000afdp,CHN,5.5,2001/5/23,2,605,10000,,10605,0
2001-0233-AFG,Ground movement,USGS:usp000afvt,AFG,5,2001/6/1,4,20,250,,270,0
2001-0294-PER,Tsunami,USGS:usp000ah4q,PER,8.4,2001/6/23,145,2713,124865,222400,349978,0
2001-0345-PNG,Ground movement,USGS:usp000ag32,PNG,6.4,2001/6/5,,1,200,,201,0
2001-0358-TUR,Ground movement,USGS:usp000ahe3,TUR,5.5,2001/6/25,,130,,350,480,0
2001-0389-CHN,Ground movement,USGS:usp000ajhn,CHN,4.6,2001/7/14,,,,25000,25000,0
2001-0546-IDN,Ground movement,USGS:usp000ahm8,IDN,5,2001/6/28,,12,,12500,12512,0
2001-0598-CHN,Ground movement,USGS:usp000arq9,CHN,5.6,2001/10/27,1,220,17000,,17220,0
2001-0669-IDN,Ground movement,USGS:usp000a9kc,IDN,7.4,2001/2/13,,,,,,0
2001-0748-TUR,Ground movement,USGS:usp000ajbh,TUR,5.4,2001/7/10,,46,,85,131,0
2001-0749-GRC,Ground movement,USGS:usp000ak5s,GRC,6.5,2001/7/26,,,,300,300,0
2001-0750-IRN,Ground movement,USGS:usp000aqec,IRN,4.9,2001/10/8,,,,1000,1000,0
2001-0751-PER,Ground movement,USGS:usp000atz4,PER,5.8,2001/12/4,2,5,,150,155,0
2001-0754-PER,Ground movement,USGS:usp000am2s,PER,5.8,2001/8/9,4,15,,3950,3965,0
2002-0002-VUT,Ground movement,USGS:usp000avpw,VUT,7.2,2002/1/3,,,,500,500,0
2002-0015-TJK,Ground movement,USGS:usp000aw3f,TJK,5.3,2002/1/9,3,50,,1000,1050,0
2002-0042-RWA,Ground movement,USGS:usp000awns,RWA,4.7,2002/1/17,45,108,,1535,1643,0
2002-0065-TUR,Ground movement,USGS:usp000axp7,TUR,6.5,2002/2/3,42,327,30000,222000,252327,0
2002-0070-PNG,Ground movement,USGS:usp000aw5z,PNG,6.7,2002/1/10,1,,1000,,1000,0
2002-0107-IRN,Ground movement,USGS:usp000ayn7,IRN,5.4,2002/2/17,1,30,,750,780,0
2002-0122-AFG,Ground movement,USGS:usp000azhb,AFG,6.3,2002/3/3,150,13,,3500,3513,0
2002-0122-PAK,Ground movement,USGS:usp000azhb,PAK,6.3,2002/3/3,3,,,,,0
2002-0122-TJK,Ground movement,USGS:usp000azhb,TJK,6.3,2002/3/3,,,500,,500,0
2002-0129-PHL,Ground movement,USGS:usp000azqw,PHL,7.5,2002/3/5,15,100,,73351,73451,0
2002-0172-TWN,Ground movement,USGS:usp000b1e2,TWN,7.1,2002/3/31,4,200,,300,500,
2002-0175-AFG,Ground movement,USGS:usp000b10y,AFG,6.1,2002/3/25,1000,1228,10000,80000,91228,0
2002-0208-AFG,Ground movement,USGS:usp000b283,AFG,5.9,2002/4/12,50,150,,6000,6150,0
2002-0234-SCG,Ground movement,USGS:usp000b324,SCG,5.7,2002/4/24,1,100,,,100,
2002-0246-IRN,Ground movement,USGS:usp000b33c,IRN,5.4,2002/4/24,2,56,,20000,20056,0
2002-0247-GEO,Ground movement,USGS:usp000b35x,GEO,4.8,2002/4/25,6,70,1086,18000,19156,0
2002-0368-ARG,Ground movement,USGS:usp000b53c,ARG,6,2002/5/28,,27,200,500,727,0
2002-0378-IRN,Ground movement,USGS:usp000b6pk,IRN,6.5,2002/6/22,227,1300,,110000,111300,0
2002-0512-IDN,Ground movement,USGS:usp000b9xr,IDN,6.2,2002/8/15,,48,,2500,2548,0
2002-0545-EGY,Ground movement,USGS:usp000baje,EGY,4.4,2002/8/24,,,,250,250,0
2002-0577-PNG,Ground movement,USGS:usp000bbpf,PNG,7.6,2002/9/8,4,70,,4400,4470,0
2002-0584-IND,Ground movement,USGS:usp000bc65,IND,6.5,2002/9/13,2,,200,,200,0
2002-0643-IDN,Tsunami,USGS:usp000be54,IDN,7.6,2002/10/10,8,632,,8450,9082,0
2002-0654-TZA,Ground movement,USGS:usp000b4j1,TZA,5.5,2002/5/18,2,,2000,,2000,0
2002-0655-CHN,Ground movement,USGS:usp000b9h8,CHN,5.3,2002/8/8,,,48,330,378,0
2002-0680-ITA,Ground movement,USGS:usp000bfkj,ITA,4.3,2002/10/29,,9,1000,,1009,1
2002-0690-ITA,Ground movement,USGS:usp000bfqg,ITA,5.9,2002/10/31,30,33,8500,,8533,1
2002-0692-PAK,Ground movement,USGS:usp000bfug,PAK,5.4,2002/11/2,17,65,4000,11000,15065,0
2002-0721-PAK,Ground movement,USGS:usp000bj2e,PAK,6.3,2002/11/20,19,40,,140742,140782,0
2002-0757-GRC,Ground movement,USGS:usp000bjwy,GRC,5.7,2002/12/2,,17,,150,167,1
2002-0770-VUT,Ground movement,USGS:usp000bjhn,VUT,5.9,2002/11/27,,3,,500,503,0
2002-0804-IRN,Ground movement,USGS:usp000bmbe,IRN,5.2,2002/12/24,,15,,15000,15015,0
2002-0820-IDN,Ground movement,USGS:usp000bcqu,IDN,6.4,2002/9/20,,,,155,155,0
2002-0821-IRN,Ground movement,USGS:usp000bd44,IRN,5.6,2002/9/25,,5,,,5,0
2002-0822-IDN,Ground movement,USGS:usp000bfuz,IDN,7.4,2002/11/2,3,60,,,60,0
2002-0835-CHN,Ground movement,USGS:usp000bkpm,CHN,5.6,2002/12/14,2,,,65500,65500,0
2002-0882-ITA,Ground movement,USGS:usp000bbb2,ITA,6,2002/9/6,2,,,,,1
2003-0039-MEX,Ground movement,USGS:usp000bnyr,MEX,7.6,2003/1/22,29,1073,,177530,178603,0
2003-0050-TUR,Ground movement,USGS:usp000bpa1,TUR,6.1,2003/1/27,1,2,,,2,0
2003-0068-IRN,Ground movement,USGS:usp000bndp,IRN,5.2,2003/1/11,,80,3250,6750,10080,0
2003-0069-IDN,Ground movement,USGS:usp000bp0u,IDN,5.5,2003/1/23,,2,,2500,2502,0
2003-0105-CHN,Ground movement,USGS:usp000brbp,CHN,6.3,2003/2/24,268,4000,3000,510000,517000,0
2003-0183-CHN,Ground movement,USGS:usp000bvbg,CHN,6.4,2003/4/17,,,,3300,3300,0
2003-0184-ITA,Ground movement,USGS:usp000buxn,ITA,5,2003/4/11,,2,,230,232,1
2003-0197-TUR,Ground movement,USGS:usp000bwbc,TUR,6.4,2003/5/1,177,520,45000,245000,290520,0
2003-0209-CHN,Ground movement,USGS:usp000bwm1,CHN,5.8,2003/5/4,1,3,8000,,8003,0
2003-0236-AFG,Ground movement,USGS:usp000buvh,AFG,4.6,2003/4/10,1,1,1000,,1001,0
2003-0245-DZA,Ground movement,USGS:usp000bxpg,DZA,6.8,2003/5/21,2266,10261,200000,,210261,0
2003-0249-JPN,Ground movement,USGS:usp000by66,JPN,7,2003/5/26,,143,,2160,2303,1
2003-0254-IDN,Ground movement,USGS:usp000by7n,IDN,7,2003/5/27,1,7,140,100,247,0
2003-0255-DZA,Ground movement,USGS:usp000byae,DZA,5.8,2003/5/27,9,200,,,200,0
2003-0259-KAZ,Ground movement,USGS:usp000bxvn,KAZ,5.5,2003/5/23,3,626,,36000,36626,0
2003-0322-IRN,Ground movement,USGS:usp000c1jh,IRN,5.2,2003/7/3,,1,,1090,1091,0
2003-0348-CHN,Ground movement,USGS:usp000c30u,CHN,6,2003/7/21,16,584,45000,1250000,1295584,0
2003-0354-JPN,Ground movement,USGS:usp000c3ay,JPN,5.5,2003/7/25,,569,219,17403,18191,1
2003-0400-GRC,Ground movement,USGS:usp000c4tt,GRC,6.3,2003/8/14,,50,,,50,1
2003-0402-CHN,Ground movement,USGS:usp000c534,CHN,5.4,2003/8/16,4,1000,39500,415000,455500,0
2003-0411-PAN,Ground movement,USGS:usp000c4rd,PAN,5.4,2003/8/13,,,340,,340,0
2003-0414-IDN,Ground movement,USGS:usp000c4kv,IDN,6,2003/8/11,,,,500,500,0
2003-0438-IRN,Ground movement,USGS:usp000c251,IRN,5.8,2003/7/10,1,25,17500,,17525,0
2003-0452-BGD,Ground movement,USGS:usp000c3ex,BGD,5.7,2003/7/26,2,25,,2500,2525,0
2003-0476-JPN,Ground movement,USGS:usp000c8mb,JPN,7.4,2003/9/25,2,773,,,773,1
2003-0477-DOM,Ground movement,USGS:usp000c89d,DOM,6.4,2003/9/22,3,15,,2000,2015,0
2003-0497-RUS,Ground movement,USGS:usp000c8sz,RUS,7.3,2003/9/27,3,5,1800,,1805,0
2003-0509-CHN,Ground movement,USGS:usp000cagn,CHN,5.6,2003/10/16,3,56,,60000,60056,0
2003-0519-CHN,Ground movement,USGS:usp000cb84,CHN,5.8,2003/10/25,9,43,225000,50000,275043,0
2003-0546-CHN,Ground movement,USGS:usp000ccrh,CHN,5.1,2003/11/13,1,126,5000,18243,23369,0
2003-0547-CHN,Ground movement,USGS:usp000ccvr,CHN,5.6,2003/11/14,4,65,3000,490000,493065,0
2003-0582-CHN,Ground movement,USGS:usp000ce8k,CHN,6,2003/12/1,11,73,2435,3510,6018,0
2003-0596-CHN,Ground movement,USGS:usp000cdxz,CHN,4.7,2003/11/26,,4,,10000,10004,0
2003-0623-USA,Ground movement,,USA,6.5,2003/12/22,2,40,120,,160,1
2003-0628-CRI,Ground movement,USGS:usp000cfzw,CRI,6.5,2003/12/25,2,75,,60,135,0
2003-0628-PAN,Ground movement,USGS:usp000cfzw,PAN,6.5,2003/12/25,2,75,,1000,1075,0
2003-0630-IRN,Ground movement,USGS:usp000cg2d,IRN,6.6,2003/12/26,26796,22628,45000,200000,267628,0
2003-0648-TUR,Ground movement,USGS:usp000c3c6,TUR,4.5,2003/7/26,,,,240,240,0
2003-0649-IRN,Ground movement,USGS:usp000cf1c,IRN,5,2003/12/11,,5,10,710,725,0
2003-0783-TUR,Ground movement,USGS:usp000buu9,TUR,5.8,2003/4/10,,170,,,170,0
2004-0001-IDN,Ground movement,USGS:usp000cgss,IDN,5.8,2004/1/1,1,40,,30000,30040,0
2004-0011-DZA,Ground movement,USGS:usp000chm5,DZA,4.5,2004/1/10,,300,,,300,0
2004-0040-IDN,Ground movement,USGS:usp000ckg7,IDN,7,2004/2/5,37,682,,13390,14072,0
2004-0054-PAK,Ground movement,USGS:usp000cm59,PAK,5.5,2004/2/14,24,63,2320,10765,13148,0
2004-0073-MAR,Ground movement,USGS:usp000cmxe,MAR,6.4,2004/2/24,628,926,12539,,13465,0
2004-0088-IDN,Ground movement,USGS:usp000cmbk,IDN,5.1,2004/2/16,5,7,,500,507,0
2004-0126-CHN,Ground movement,USGS:usp000cqr9,CHN,5.5,2004/3/24,,100,,190000,190100,0
2004-0127-TUR,Ground movement,USGS:usp000cqvt,TUR,5.6,2004/3/25,9,30,,4000,4030,0
2004-0132-TUR,Ground movement,USGS:usp000cr2z,TUR,5.6,2004/3/28,,30,,32500,32530,0
2004-0147-TJK,Ground movement,USGS:usp000cy53,TJK,4.3,2004/4/1,,,,180,180,0
2004-0234-IRN,Ground movement,USGS:usp000cwf9,IRN,6.3,2004/5/28,35,278,,220,498,0
2004-0250-RUS,Ground movement,USGS:usp000cwkb,RUS,4.9,2004/5/31,,,,138,138,0
2004-0308-TUR,Ground movement,USGS:usp000czcr,TUR,5.1,2004/7/1,18,21,,335,356,0
2004-0406-CHN,Ground movement,USGS:usp000d1w5,CHN,5.4,2004/8/10,4,600,120000,,120600,0
2004-0426-COL,Ground movement,USGS:usp000d2cd,COL,5.1,2004/8/18,1,2,500,,502,0
2004-0436-AFG,Ground movement,USGS:usp000d0du,AFG,5.2,2004/7/18,2,40,1000,,1040,0
2004-0522-CHN,Ground movement,USGS:usp000d6mj,CHN,4.8,2004/10/18,,12,,100000,100012,0
2004-0532-JPN,Ground movement,USGS:usp000d6vk,JPN,6.6,2004/10/23,40,3183,,59000,62183,1
2004-0562-IDN,Ground movement,USGS:usp000d85g,IDN,7.5,2004/11/11,33,311,,83070,83381,0
2004-0571-CHN,Ground movement,USGS:usp000d3us,CHN,5.2,2004/9/7,,19,3000,19000,22019,0
2004-0575-COL,Ground movement,USGS:usp000d8gx,COL,7.2,2004/11/15,,20,,8016,8036,0
2004-0582-DMA,Ground movement,USGS:usp000d8w3,DMA,6.3,2004/11/21,,,,100,100,0
2004-0582-GLP,Ground movement,USGS:usp000d8w3,GLP,6.3,2004/11/21,1,13,40,100,153,
2004-0599-CRI,Ground movement,USGS:usp000d8tf,CRI,6.4,2004/11/20,8,,25,255,280,0
2004-0607-IDN,Ground movement,USGS:usp000d975,IDN,7.1,2004/11/26,32,213,,12620,12833,0
2004-0620-DZA,Ground movement,USGS:usp000d9r7,DZA,4.5,2004/12/1,,15,,,15,0
2004-0659-BGD,Tsunami,,BGD,9.1,2004/12/26,2,,,,,0
2004-0659-IDN,Tsunami,,IDN,9.1,2004/12/26,165708,,532898,,532898,0
2004-0659-IND,Tsunami,,IND,9.1,2004/12/26,16389,6913,,647599,654512,0
2004-0659-KEN,Tsunami,,KEN,9.1,2004/12/26,1,,,,,0
2004-0659-LKA,Tsunami,,LKA,9.1,2004/12/26,35399,23176,480000,516130,1019306,0
2004-0659-MDV,Tsunami,,MDV,9.1,2004/12/26,102,2214,13000,12000,27214,0
2004-0659-MMR,Tsunami,,MMR,9.1,2004/12/26,71,,3200,12500,15700,0
2004-0659-MYS,Tsunami,,MYS,9.1,2004/12/26,80,767,4296,,5063,0
2004-0659-SOM,Tsunami,,SOM,9.1,2004/12/26,298,283,,104800,105083,0
2004-0659-SYC,Tsunami,,SYC,9.1,2004/12/26,3,,70,4760,4830,0
2004-0659-THA,Tsunami,,THA,9.1,2004/12/26,8345,8457,,58550,67007,0
2004-0659-TZA,Tsunami,,TZA,9.1,2004/12/26,10,,,,,0
2004-0669-DEU,Ground movement,USGS:usp000da1z,DEU,4.8,2004/12/5,,,,150,150,1
2004-0670-SVN,Ground movement,USGS:usp000d00p,SVN,5.2,2004/7/12,1,5,,600,605,1
2004-0671-BDI,Ground movement,USGS:usp000cmxd,BDI,4.7,2004/2/24,3,,120,,120,0
2004-0680-CHN,Ground movement,USGS:usp000cu4k,CHN,5.5,2004/5/4,,,4199,,4199,0
2005-0016-IRN,Ground movement,USGS:usp000dd01,IRN,5.4,2005/1/10,,110,,,110,0
2005-0031-IDN,Ground movement,USGS:usp000de4m,IDN,6.3,2005/1/23,1,4,,680,684,0
2005-0070-TUR,Ground movement,USGS:usp000debc,TUR,5.9,2005/1/25,2,22,,400,422,0
2005-0092-IRN,Ground movement,USGS:usp000dgpx,IRN,6.4,2005/2/22,612,1411,,93355,94766,0
2005-0126-TUR,Ground movement,USGS:usp000dj5f,TUR,5.8,2005/3/14,,18,,2250,2268,0
2005-0129-JPN,Ground movement,USGS:usp000djku,JPN,6.6,2005/3/20,1,735,,2800,3535,1
2005-0132-ZAF,Ground movement,USGS:usp000dhva,ZAF,5,2005/3/9,2,58,,,58,0
2005-0160-IDN,Ground movement,,IDN,8.6,2005/3/28,915,1146,,104167,105313,0
2005-0211-JPN,Ground movement,USGS:usp000dnsk,JPN,5.5,2005/4/19,,58,,837,895,1
2005-0240-SLV,Ground movement,USGS:usp000dpwb,SLV,4.8,2005/5/5,1,1,,750,751,0
2005-0321-CHL,Ground movement,USGS:usp000dsw1,CHL,7.8,2005/6/13,11,182,,27463,27645,0
2005-0321-PER,Ground movement,USGS:usp000dsw1,PER,7.8,2005/6/13,,,,,,0
2005-0328-PNG,Ground movement,USGS:usp000ds6y,PNG,6.1,2005/6/4,1,,200,,200,0
2005-0329-TUR,Ground movement,USGS:usp000dsbj,TUR,5.6,2005/6/6,,54,,300,354,0
2005-0558-PER,Ground movement,USGS:usp000e09h,PER,7.5,2005/9/26,5,59,,2446,2505,0
2005-0575-AFG,Ground movement,USGS:usp000e12e,AFG,7.6,2005/10/8,1,,,,,0
2005-0575-IND,Ground movement,USGS:usp000e12e,IND,7.6,2005/10/8,1309,6622,150000,,156622,0
2005-0575-PAK,Ground movement,USGS:usp000e12e,PAK,7.6,2005/10/8,73338,128309,5000000,,5128309,0
2005-0651-CHN,Ground movement,USGS:usp000e4wu,CHN,5.2,2005/11/26,16,8000,,607500,615500,0
2005-0654-IRN,Ground movement,USGS:usp000e501,IRN,5.9,2005/11/27,13,100,,,100,0
2005-0671-COD,Ground movement,USGS:usp000e5jx,COD,6.8,2005/12/5,6,5,1500,,1505,0
2005-0671-TZA,Ground movement,USGS:usp000e5jx,TZA,6.8,2005/12/5,2,,,5000,5000,0
2005-0686-AFG,Ground movement,USGS:usp000e61s,AFG,6.5,2005/12/13,5,1,,500,501,0
2005-0738-IRN,Ground movement,USGS:usp000dj38,IRN,6,2005/3/13,,,,21912,21912,0
2005-0740-CHN,Ground movement,USGS:usp000dwrc,CHN,5.2,2005/8/5,,9,,18500,18509,0
2006-0061-CHN,Ground movement,USGS:usp000e82j,CHN,4.6,2006/1/12,,1,68760,,68761,0
2006-0100-MOZ,Ground movement,USGS:usp000eamh,MOZ,7,2006/2/22,4,36,1440,,1476,0
2006-0123-IRN,Ground movement,USGS:usp000eb19,IRN,6,2006/2/28,,6,,7000,7006,0
2006-0148-BGR,Ground movement,USGS:usp000eaez,BGR,4.6,2006/2/20,,2,,525,527,0
2006-0149-DZA,Ground movement,USGS:usp000ecjv,DZA,5.2,2006/3/20,4,9,150,160,319,0
2006-0153-IRN,Ground movement,USGS:usp000edad,IRN,6.1,2006/3/31,63,1418,,160000,161418,0
2006-0214-RUS,Ground movement,USGS:usp000ef1h,RUS,7.6,2006/4/20,,40,,12000,12040,0
2006-0231-IDN,Tsunami,USGS:usp000ec4d,IDN,6.7,2006/3/14,3,2,,1200,1202,0
2006-0239-IRN,Ground movement,USGS:usp000egfm,IRN,5,2006/5/7,,70,,,70,0
2006-0279-IDN,Ground movement,USGS:usp000ej1c,IDN,6.3,2006/5/26,5778,137883,699295,2340745,3177923,0
2006-0372-IDN,Tsunami,USGS:usp000ensm,IDN,7.7,2006/7/17,802,543,,35000,35543,0
2006-0397-CHN,Ground movement,USGS:usp000ep9q,CHN,4.9,2006/7/22,22,106,75000,190000,265106,0
2006-0405-AFG,Ground movement,USGS:usp000epsz,AFG,5.6,2006/7/29,1,,195,740,935,0
2006-0405-TJK,Ground movement,USGS:usp000epsz,TJK,5.6,2006/7/29,3,19,,15408,15427,0
2006-0464-CHN,Ground movement,USGS:usp000ekvx,CHN,4.9,2006/6/20,,5,,125,130,0
2006-0475-CHN,Ground movement,USGS:usp000erq0,CHN,5,2006/8/25,1,31,,45520,45551,0
2006-0586-CHN,Ground movement,USGS:usp000ew4d,CHN,4.5,2006/10/27,,,,20000,20000,0
2006-0620-CHN,Ground movement,USGS:usp000ewhk,CHN,4.7,2006/11/3,,,,12000,12000,0
2006-0678-IDN,Ground movement,USGS:usp000f0er,IDN,5.8,2006/12/17,8,200,,1000,1200,0
2006-0688-TWN,Ground movement,USGS:usp000f114,TWN,7.1,2006/12/26,2,42,,,42,
2006-0694-KGZ,Ground movement,USGS:usp000f0zk,KGZ,5.8,2006/12/26,,,50,12000,12050,0
2006-0699-SLV,Ground movement,USGS:usp000f0mk,SLV,4.1,2006/12/17,,,,16470,16470,0
2006-0704-USA,Ground movement,USGS:usp000ev94,USA,6.7,2006/10/15,,10,,3519,3529,1
2006-0705-IDN,Ground movement,USGS:usp000ez9y,IDN,6.3,2006/12/1,1,14,100,,114,0
2007-0087-IDN,Ground movement,GLIDE:EQ-2007-000033|USGS:usp000f660,IDN,6.3,2007/3/6,67,826,,136834,137660,0
2007-0101-JPN,Ground movement,GLIDE:EQ-2007-000039|USGS:usp000f7b5,JPN,6.7,2007/3/25,1,359,40668,,41027,1
2007-0127-SLB,Tsunami,USGS:usp000f83m,SLB,8.1,2007/4/1,52,9,,2375,2384,0
2007-0158-CHL,Tsunami,USGS:usp000fa97,CHL,6.2,2007/4/21,10,,,,,0
2007-0217-CHN,Ground movement,GLIDE:EQ-2007-000074|USGS:usp000fd8a,CHN,6.1,2007/6/2,3,329,,,329,0
2007-0258-JPN,Ground movement,GLIDE:EQ-2007-000102|USGS:usp000fg9t,JPN,6.6,2007/7/16,9,1000,,13000,14000,1
2007-0287-TJK,Ground movement,GLIDE:EQ-2007-000108|USGS:usp000fgtx,TJK,5.2,2007/7/21,11,3,,7000,7003,0
2007-0334-RUS,Ground movement,GLIDE:EQ-2007-000119|USGS:usp000fhn0,RUS,6.2,2007/8/2,2,12,,25000,25012,0
2007-0362-PER,Ground movement,GLIDE:EQ-2007-000133|USGS:usp000fjta,PER,8,2007/8/15,593,1366,,656965,658331,0
2007-0433-COL,Ground movement,USGS:usp000fmtk,COL,6.8,2007/9/10,,5,,170,175,0
2007-0440-IDN,Ground movement,GLIDE:EQ-2007-000157,IDN,8.4,2007/9/12,25,82,36800,422685,459567,0
2007-0461-HND,Ground movement,GLIDE:EQ-2007-000166|USGS:usp000fnc9,HND,5.3,2007/9/15,,18,1865,,1883,0
2007-0485-IDN,Ground movement,USGS:usp000fmst,IDN,4.9,2007/9/9,,19,,450,469,0
2007-0565-IDN,Ground movement,GLIDE:EQ-2007-000218|USGS:usp000ft98,IDN,6.5,2007/11/25,3,1800,,20000,21800,0
2007-0572-BRB,Ground movement,GLIDE:EQ-2007-000218|USGS:usp000ftj1,BRB,7.4,2007/11/29,,1,,,1,0
2007-0572-LCA,Ground movement,GLIDE:EQ-2007-000218|USGS:usp000ftj1,LCA,7.4,2007/11/29,,,,,,0
2007-0572-MTQ,Ground movement,GLIDE:EQ-2007-000218|USGS:usp000ftj1,MTQ,7.4,2007/11/29,1,100,,,100,
2007-0587-CHL,Ground movement,GLIDE:EQ-2007-000207|USGS:usp000fshy,CHL,7.7,2007/11/14,2,155,,25000,25155,0
2007-0653-BRA,Ground movement,USGS:usp000fu34,BRA,4.9,2007/12/9,1,6,,280,286,0
2007-0654-JPN,Ground movement,USGS:usp000f9rr,JPN,5.1,2007/4/15,,12,,189,201,1
2007-0692-GBR,Ground movement,USGS:usp000fase,GBR,4.6,2007/4/28,,1,,4500,4501,1
2008-0001-KGZ,Ground movement,GLIDE:EQ-2008-000002|USGS:usp000fvrz,KGZ,5.6,2008/1/13,,,,3000,3000,0
2008-0040-COD,Ground movement,GLIDE:EQ-2008-000017|USGS:usp000fy21,COD,5.9,2008/2/3,11,,,17355,17355,0
2008-0040-RWA,Ground movement,GLIDE:EQ-2008-000017|USGS:usp000fy21,RWA,5.9,2008/2/3,36,643,,,643,0
2008-0071-IDN,Ground movement,GLIDE:EQ-2008-000028|USGS:usp000fzau,IDN,7.4,2008/2/20,3,25,,,25,0
2008-0099-USA,Ground movement,USGS:nn00234425,USA,5.9,2008/2/21,,3,,2100,2103,1
2008-0178-IRN,Ground movement,USGS:usp000g57j,IRN,4.5,2008/5/1,,170,,,170,0
2008-0192-CHN,Ground movement,GLIDE:EQ-2008-000062|USGS:usp000g650,CHN,7.9,2008/5/12,87476,366596,,45610000,45976596,0
2008-0226-GRC,Ground movement,USGS:usp000g8vs,GRC,6.4,2008/6/8,2,240,,3468,3708,1
2008-0242-JPN,Ground movement,GLIDE:EQ-2008-000087|USGS:usp000g9h6,JPN,6.9,2008/6/13,23,448,,,448,1
2008-0275-JPN,Ground movement,GLIDE:EQ-2008-000115|USGS:usp000gczp,JPN,6.8,2008/7/23,1,200,,270,470,1
2008-0325-CHN,Ground movement,USGS:usp000gdw4,CHN,6,2008/8/5,4,29,13500,,13529,0
2008-0355-CHN,Ground movement,USGS:usp000gf5p,CHN,6,2008/8/21,6,160,,,160,0
2008-0374-CHN,Ground movement,GLIDE:EQ-2008-000149|USGS:usp000gg00,CHN,6,2008/8/30,40,589,50000,950000,1000589,0
2008-0401-IRN,Ground movement,USGS:usp000ggsg,IRN,6.1,2008/9/10,6,45,,20500,20545,0
2008-0403-IDN,Ground movement,USGS:usp000ggpt,IDN,5.2,2008/9/9,2,60,,565,625,0
2008-0454-KGZ,Ground movement,GLIDE:EQ-2008-000181|USGS:usp000gjd4,KGZ,6.7,2008/10/5,74,142,1055,,1197,0
2008-0455-CHN,Ground movement,USGS:usp000gjgt,CHN,6.3,2008/10/6,30,19,735,,754,0
2008-0476-RUS,Ground movement,USGS:usp000gjy6,RUS,5.8,2008/10/11,13,100,,5135,5235,0
2008-0500-PAK,Ground movement,GLIDE:EQ-2008-000206|USGS:usp000gm8g,PAK,6.4,2008/10/28,166,320,,75000,75320,0
2008-0536-IDN,Ground movement,USGS:usp000gnur,IDN,7.4,2008/11/16,6,77,,10000,10077,0
2008-0588-CHN,Ground movement,USGS:usp000grfr,CHN,4.8,2008/12/25,,19,150,27000,27169,0
2008-0649-COL,Ground movement,USGS:usp000g7p6,COL,5.9,2008/5/24,11,54,1700,,1754,0
2008-0650-CHN,Ground movement,USGS:usp000g7r4,CHN,6.1,2008/5/25,8,1000,350000,,351000,0
2009-0001-IDN,Ground movement,USGS:usp000gs2d,IDN,7.7,2009/1/3,5,250,,4000,4250,0
2009-0002-CRI,Ground movement,GLIDE:EQ-2009-000009|USGS:usp000gscg,CRI,6.1,2009/1/8,31,91,,128527,128618,0
2009-0059-CHN,Ground movement,USGS:usp000gt2t,CHN,5.1,2009/1/25,,,,4549,4549,0
2009-0112-IDN,Ground movement,USGS:usp000gtnc,IDN,7.2,2009/2/11,,64,,2985,3049,0
2009-0136-ITA,Ground movement,GLIDE:EQ-2009-000072|USGS:usp000gvtu,ITA,6.3,2009/4/6,295,1000,55000,,56000,1
2009-0156-AFG,Ground movement,USGS:usp000gw84,AFG,5.2,2009/4/16,22,59,3250,,3309,0
2009-0205-HND,Ground movement,GLIDE:EQ-2009-000108|USGS:usp000gxkj,HND,7.3,2009/5/28,7,136,,50000,50136,0
2009-0249-CHN,Ground movement,GLIDE:EQ-2009-000130|USGS:usp000gz2j,CHN,5.7,2009/7/9,1,336,50000,15000,65336,0
2009-0320-JPN,Tsunami,USGS:usp000h05y,JPN,6.2,2009/8/10,1,319,,25000,25319,1
2009-0354-IDN,Ground movement,GLIDE:TS-2009-000173|USGS:usp000h152,IDN,7,2009/9/2,128,1442,,338350,339792,0
2009-0366-ALB,Ground movement,USGS:usp000h19n,ALB,5.5,2009/9/7,,,150,,150,0
2009-0388-GEO,Ground movement,GLIDE:EQ-2009-000191|USGS:usp000h1ar,GEO,6,2009/9/7,,6,,7300,7306,0
2009-0404-PHL,Ground movement,USGS:usp000h1mu,PHL,5.7,2009/9/18,,2,10,380,392,0
2009-0406-BTN,Ground movement,USGS:usp000h1r4,BTN,8.1,2009/9/21,11,12,,,12,0
2009-0420-ASM,Tsunami,GLIDE:TS-2009-000210|USGS:usp000h1ys,ASM,8.1,2009/9/29,34,,,2500,2500,
2009-0420-TON,Tsunami,GLIDE:TS-2009-000210|USGS:usp000h1ys,TON,8.1,2009/9/29,9,7,,500,507,0
2009-0420-WSM,Tsunami,GLIDE:TS-2009-000210|USGS:usp000h1ys,WSM,8.1,2009/9/29,148,310,,5274,5584,0
2009-0421-IDN,Ground movement,GLIDE:TS-2009-000211|USGS:usp000h237,IDN,6.6,2009/9/30,1195,1798,,2500000,2501798,0
2009-0479-IDN,Ground movement,USGS:usp000h3vc,IDN,7.6,2009/11/8,2,100,,1410,1510,0
2009-0493-IRN,Ground movement,USGS:usp000h3qd,IRN,5,2009/11/3,,269,,,269,0
2009-0547-MWI,Ground movement,GLIDE:EQ-2009-000257|USGS:usp000h4v7,MWI,5.9,2009/12/8,1,15,15000,,15015,0
