ISO,year
CHN,2005
CHN,2006
MOZ,2006
IRN,2006
BGR,2006
DZA,2006
IRN,2006
RUS,2006
IDN,2006
IRN,2006
IDN,2006
IDN,2006
CHN,2006
AFG,2006
TJK,2006
CHN,2006
CHN,2006
CHN,2006
CHN,2006
IDN,2006
TWN,2006
KGZ,2006
SLV,2006
USA,2006
IDN,2006
IDN,2007
JPN,2007
SLB,2007
CHL,2007
CHN,2007
JPN,2007
TJK,2007
RUS,2007
PER,2007
COL,2007
IDN,2007
HND,2007
IDN,2007
IDN,2007
BRB,2007
LCA,2007
MTQ,2007
CHL,2007
BRA,2007
JPN,2007
GBR,2007
KGZ,2008
COD,2008
RWA,2008
IDN,2008
USA,2008
IRN,2008
CHN,2008
GRC,2008
JPN,2008
JPN,2008
CHN,2008
CHN,2008
CHN,2008
IRN,2008
IDN,2008
KGZ,2008
CHN,2008
RUS,2008
PAK,2008
IDN,2008
CHN,2008
COL,2008
CHN,2008
IDN,2009
CRI,2009
CHN,2009
IDN,2009
ITA,2009
AFG,2009
HND,2009
CHN,2009
JPN,2009
IDN,2009
ALB,2009
GEO,2009
PHL,2009
BTN,2009
ASM,2009
TON,2009
WSM,2009
IDN,2009
IDN,2009
IRN,2009
MWI,2009
MWI,2009
TJK,2010
SLB,2010
HTI,2010
IRN,2010
USA,2010
CHN,2010
CHN,2010
CHL,2010
TUR,2010
MEX,2010
CHN,2010
IDN,2010
IRN,2010
IRN,2010
NZL,2010
IDN,2010
SRB,2010
IRN,2010
IRN,2010
CHN,2010
TWN,2010
AFG,2010
IRN,2010
CHN,2010
CHN,2011
NZL,2011
CHN,2011
IDN,2011
JPN,2011
CHN,2011
MMR,2011
THA,2011
PAK,2011
JPN,2011
ESP,2011
TUR,2011
KGZ,2011
TJK,2011
UZB,2011
BTN,2011
CHN,2011
IND,2011
NPL,2011
GTM,2011
CHN,2011
NZL,2011
IDN,2011
TUR,2011
CHN,2011
PER,2011
PHL,2011
TUR,2011
MEX,2011
CHN,2011
PER,2012
PHL,2012
IDN,2012
MEX,2012
CHL,2012
ITA,2012
TJK,2012
BGR,2012
ITA,2012
AFG,2012
CHN,2012
AZE,2012
IRN,2012
PHL,2012
CHN,2012
CRI,2012
CHN,2012
CHN,2012
IDN,2012
GTM,2012
MMR,2012
PHL,2012
IRN,2012
CHN,2012
AZE,2012
IRN,2012
CHN,2012
IDN,2013
SLB,2013
COL,2013
CHN,2013
IRN,2013
IRN,2013
PAK,2013
CHN,2013
HUN,2013
JPN,2013
IND,2013
AFG,2013
TWN,2013
IDN,2013
CHN,2013
NZL,2013
CHN,2013
PAK,2013
PHL,2013
GTM,2013
PER,2013
IDN,2013
CHN,2013
PAK,2013
IRN,2013
CHN,2013
TWN,2013
CHN,2013
CHN,2013
GRC,2014
IRN,2014
CHN,2014
CHL,2014
