DisNo.,Disaster Subtype,External IDs,ISO,Magnitude,Date,Total Deaths,No. Injured,No. Homeless,No. Affected,Total Affected,Development,Depth
1997-0017-IRN,Ground movement,,IRN,5.6,1997/2/4,100.0,2000.0,27500.0,55000.0,84500.0,0.0,
1997-0028-KGZ,Ground movement,,KGZ,7.0,1997/1/9,,,30.0,1200.0,1230.0,0.0,
1997-0030-PAK,Ground movement,,PAK,6.3,1997/2/28,50.0,100.0,10000.0,,10100.0,0.0,
1997-0035-IRN,Ground movement,,IRN,6.0,1997/2/28,1100.0,2600.0,36000.0,,38600.0,0.0,
1997-0045-TTO,Ground movement,,TTO,6.5,1997/4/22,,2.0,15.0,,17.0,0.0,
1997-0071-MEX,Ground movement,,MEX,7.3,1997/1/12,1.0,,,5000.0,5000.0,0.0,
1997-0095-AFG,Ground movement,,AFG,6.4,1997/5/10,5.0,,,,,0.0,
1997-0095-IRN,Ground movement,,IRN,7.3,1997/5/10,1568.0,2600.0,,72000.0,74600.0,0.0,
1997-0115-IND,Ground movement,,IND,6.0,1997/5/22,43.0,1500.0,30000.0,125000.0,156500.0,0.0,
1997-0116-MEX,Ground movement,,MEX,5.9,1997/5/22,,,,12000.0,12000.0,0.0,
1997-0147-VEN,Ground movement,,VEN,6.7,1997/7/9,80.0,683.0,3500.0,,4183.0,0.0,
1997-0228-ITA,Ground movement,,ITA,5.5,1997/9/26,14.0,100.0,38000.0,,38100.0,1.0,
1997-0240-IDN,Ground movement,,IDN,6.0,1997/9/28,20.0,300.0,,2805.0,3105.0,0.0,
1997-0247-CHL,Ground movement,,CHL,6.8,1997/10/14,8.0,98.0,13000.0,40000.0,53098.0,0.0,
1997-0281-BGD,Ground movement,,BGD,5.9,1997/11/22,23.0,200.0,,,200.0,0.0,
1997-0326-CHN,Ground movement,,CHN,6.6,1997/4/6,9.0,89.0,,500000.0,500089.0,0.0,
1997-0368-ARM,Ground movement,,ARM,4.2,1997/7/18,,,,15000.0,15000.0,0.0,
1997-0531-CHN,Ground movement,,CHN,5.2,1997/3/1,2.0,6.0,20000.0,,20006.0,0.0,
1997-0532-CHN,Ground movement,,CHN,5.8,1997/4/11,9.0,89.0,100000.0,,100089.0,0.0,
1997-0533-IRN,Ground movement,,IRN,6.2,1997/6/25,,,500.0,25000.0,25500.0,0.0,
